bank_txn_id,txn_date,narration,amount,utr
BNK-N0025,2026-06-04,TDS REFUND AY26,51816.57,
BNK-00038,2026-06-17,IMPS-RAZORP*BLUE03,10534.42,UTR136368133067
BNK-N0010,2026-06-24,INTEREST CREDIT SB,73945.42,
BNK-00010,2026-06-14,UPI-RAZORP*SUMM010,133107.27,UTR212288129626
BNK-00011,2026-07-15,RAZORP*JAIP011-R092RG,211404.89,UTR541601377431
BNK-00003,2026-06-18,RTGS-RAZORP*TUND003-7P8CU2,123633.28,
BNK-00031,2026-07-18,IMPS-RAZORP*GANG031-2PB1,7460.45,UTR396228355157
BNK-00054,2026-06-17,IMPS-RAZORP*ZENI054-6G2ETW,20101.21,UTR543163729523
BNK-00036,2026-06-20,NEFT-RAZORP*UDAA036-8ZLARY,131064.5,
BNK-00047,2026-06-10,UPI-RAZORP*FALC047-LVWDZ,8430.65,UTR971040041922
BNK-N0005,2026-06-08,RENT PAYMENT HO,56733.29,
BNK-00046,2026-06-30,UPI-RAZORP*CRES046-HA6P3O,29135.78,UTR118968488499
BNK-N0015,2026-07-11,REVERSAL CHGBACK,43986.15,
BNK-00042,2026-06-14,RAZORP*ORIO042-GCJ,60905.97,UTR302926162922
BNK-00041,2026-07-04,RTGS-RAZORP*EVER041-959JDD,48644.36,UTR813242597367
BNK-00013,2026-07-05,UPI-RAZORP*HARB013-O80GEF,51937.66,UTR969447087789
BNK-N0012,2026-07-16,ATM CASH DEPOSIT,11426.2,
BNK-N0009,2026-06-03,RENT PAYMENT HO,77371.82,
BNK-00028,2026-07-09,UPI-RAZORP*ORIO028-RNRY1,17029.57,
BNK-N0006,2026-06-11,VENDOR PAYOUT MISC,88011.91,
BNK-N0018,2026-06-22,ATM CASH DEPOSIT,24982.05,
BNK-00034,2026-06-09,NEFT-RAZORP*RANG03,81261.38,
BNK-00055,2026-07-08,IMPS-RAZORP*ORIO05,129622.83,
BNK-00019,2026-06-07,UPI-RAZORP*KEST019-4Y8OTS,177633.47,UTR958589297142
BNK-00021,2026-06-17,UPI-RAZORP*WAVE021-D3PR4O,228829.09,UTR707762156039
BNK-N0001,2026-06-28,INTEREST CREDIT SB,52189.96,
BNK-N0024,2026-06-07,VENDOR PAYOUT MISC,43266.87,
BNK-00002,2026-06-06,RAZORP*SUMM002-L3G,222408.77,UTR249715982027
BNK-N0026,2026-07-16,RENT PAYMENT HO,52559.6,
BNK-00049,2026-07-02,RTGS-RAZORP*TUND049-MN2S,136464.31,
BNK-N0014,2026-06-03,RENT PAYMENT HO,74605.3,
BNK-N0008,2026-06-09,SALARY CREDIT FEB,63336.68,
BNK-N0000,2026-07-04,SALARY CREDIT FEB,77462.0,
BNK-00045,2026-07-11,NEFT-RAZORP*TUND045-3ONWCB,51328.95,UTR139749551558
BNK-N0022,2026-06-19,SALARY CREDIT FEB,71436.92,
BNK-N0021,2026-07-09,TDS REFUND AY26,43895.28,
BNK-00037,2026-07-16,NEFT-RAZORP*HARB037-8RGI,106387.56,UTR354236007498
BNK-N0029,2026-06-04,SALARY CREDIT FEB,32606.72,
BNK-N0002,2026-06-20,INTEREST CREDIT SB,36457.55,
BNK-N0013,2026-06-14,INTEREST CREDIT SB,11853.34,
BNK-00014,2026-07-12,RAZORP*EVER014-LT4C06,202598.19,UTR130971191036
BNK-N0007,2026-07-15,SALARY CREDIT FEB,4716.55,
BNK-00018,2026-07-03,UPI-RAZORP*GANG018-FYIZ9O,37687.03,
BNK-N0016,2026-06-09,RENT PAYMENT HO,71693.12,
BNK-N0023,2026-06-02,ATM CASH DEPOSIT,47638.77,
BNK-00030,2026-06-07,UPI-RAZORP*GANG030,143980.66,UTR596848637705
BNK-N0027,2026-06-19,GST REFUND ADJ,40373.06,
BNK-00029,2026-06-23,UPI-RAZORP*EVER029-AQ38Q,65629.08,UTR705133674493
BNK-00035,2026-07-20,NEFT-RAZORP*NIMB035-TB2I7X,187570.59,UTR893819028493
BNK-00022,2026-06-26,NEFT-RAZORP*HARB022-QFQJ89,51901.3,
BNK-N0003,2026-07-08,RENT PAYMENT HO,51738.0,
BNK-00032,2026-06-30,RTGS-RAZORP*BLUE032-XCS3TQ,112735.92,UTR629573059442
BNK-00060,2026-07-17,RTGS-RAZORP*XENO060-5LI6WY,230428.84,UTR322238266645
BNK-N0020,2026-06-04,VENDOR PAYOUT MISC,82109.4,
BNK-00040,2026-07-03,NEFT-RAZORP*BLUE040-3DZQ12,19852.25,UTR756080531206
BNK-N0004,2026-06-11,GST REFUND ADJ,4896.4,
BNK-N0028,2026-07-04,INTEREST CREDIT SB,27373.45,
BNK-00025,2026-06-13,RAZORP*CRES025-W03,100452.27,UTR895789478863
BNK-N0019,2026-06-23,REVERSAL CHGBACK,83848.58,
BNK-N0017,2026-07-12,INTEREST CREDIT SB,27912.43,
BNK-N0011,2026-07-05,RENT PAYMENT HO,79414.89,
BNK-00059,2026-06-09,UPI-RAZORP*YASH059,7696.58,
BNK-00017,2026-07-03,IMPS-RAZORP*EVER017-QTR7Z5,152982.15,UTR172638583022
