settlement_id,order_id,utr,settlement_date,gross_amount,fee,tax,settled_amount,merchant_ref
STL-0002,order_P3EIW8UO9B,UTR249715982027,2026-06-06,227877.5,4557.55,820.36,222408.77,RAZORP*SUMM002
STL-0003,order_7NIG2CKRMQ,UTR229163414222,2026-06-17,126621.55,2532.43,455.84,123633.28,RAZORP*TUND003
STL-0006,order_NYAQGEC1EI,UTR649203575472,2026-06-21,163546.57,3270.93,588.77,159686.87,RAZORP*WAVE006
STL-0007,order_OM58FGIIRV,UTR410366133445,2026-07-07,73070.59,1461.41,263.05,71346.13,RAZORP*MERI007
STL-0008,order_WYB6252OOD,UTR540810917131,2026-06-25,154404.05,3088.08,555.85,150760.12,RAZORP*RANG008
STL-0010,order_NW8VRER9RL,UTR212288129626,2026-06-13,136471.58,2729.43,491.3,133107.27,RAZORP*SUMM010
STL-0011,order_G1T2LI3943,UTR541601377431,2026-07-15,216514.63,4330.29,779.45,211404.89,RAZORP*JAIP011
STL-0013,order_A6MX4ENZH6,UTR969447087789,2026-07-04,53193.01,1063.86,191.49,51937.66,RAZORP*HARB013
STL-0014,order_TEA8XS7P53,UTR130971191036,2026-07-12,207495.07,4149.9,746.98,202598.19,RAZORP*EVER014
STL-0017,order_T2DUIJ1SU1,UTR172638583022,2026-07-03,156679.8,3133.6,564.05,152982.15,RAZORP*EVER017
STL-0018,order_PHKE17XNJE,UTR342527078687,2026-07-02,38597.94,771.96,138.95,37687.03,RAZORP*GANG018
STL-0019,order_NSK8E7I5DJ,UTR958589297142,2026-06-07,181926.95,3638.54,654.94,177633.47,RAZORP*KEST019
STL-0020,order_W2D4C5QMT7,UTR784050248914,2026-06-19,19094.0,381.88,68.74,18171.12,RAZORP*CRES020
STL-0021,order_WTHQYJ29BA,UTR707762156039,2026-06-17,234840.85,4696.82,845.43,228829.09,RAZORP*WAVE021
STL-0022,order_94AW5PBXNS,UTR413407757840,2026-06-25,53663.0,1073.26,193.19,51901.3,RAZORP*HARB022
STL-0025,order_D84F62V1ZR,UTR895789478863,2026-06-13,102880.24,2057.6,370.37,100452.27,RAZORP*CRES025
STL-0028,order_A20STXC0JC,UTR358838601660,2026-07-09,17441.18,348.82,62.79,17029.57,RAZORP*ORIO028
STL-0029,order_ACJYYYKSQQ,UTR705133674493,2026-06-23,67215.37,1344.31,241.98,65629.08,RAZORP*EVER029
STL-0030,order_VWKENR5OF8,UTR596848637705,2026-06-07,147460.73,2949.21,530.86,143980.66,RAZORP*GANG030
STL-0031,order_5C714KBXWF,UTR396228355157,2026-07-18,7871.8,157.44,28.34,7460.45,RAZORP*GANG031
STL-0032,order_B7EQMK09JX,UTR629573059442,2026-06-30,115460.8,2309.22,415.66,112735.92,RAZORP*BLUE032
STL-0034,order_A5N0HJ1RUM,UTR652705396343,2026-06-09,83225.5,1664.51,299.61,81261.38,RAZORP*RANG034
STL-0035,order_C77TQQ2IF8,UTR893819028493,2026-07-19,192104.24,3842.08,691.57,187570.59,RAZORP*NIMB035
STL-0036,order_7GJ2AT9KL4,UTR620731960781,2026-06-20,134422.02,2688.44,483.92,131064.5,RAZORP*UDAA036
STL-0037,order_ZNOAK4CRH1,UTR354236007498,2026-07-15,108958.99,2179.18,392.25,106387.56,RAZORP*HARB037
STL-0038,order_GQZLECFGXS,UTR136368133067,2026-06-16,10789.04,215.78,38.84,10534.42,RAZORP*BLUE038
STL-0039,order_DZHTQL0RWI,UTR944499698234,2026-06-16,98131.77,1962.64,353.28,95815.85,RAZORP*YASH039
STL-0040,order_6MJ8WJZLJA,UTR756080531206,2026-07-03,20332.09,406.64,73.2,19852.25,RAZORP*BLUE040
STL-0041,order_1VLLN2CH1I,UTR813242597367,2026-07-03,49820.11,996.4,179.35,48644.36,RAZORP*EVER041
STL-0042,order_04XE4KUN0H,UTR302926162922,2026-06-13,62378.09,1247.56,224.56,60905.97,RAZORP*ORIO042
STL-0045,order_J18DVWHNFH,UTR139749551558,2026-07-11,52569.59,1051.39,189.25,51328.95,RAZORP*TUND045
STL-0046,order_DFZOKL8LUM,UTR118968488499,2026-06-29,29840.0,596.8,107.42,29135.78,RAZORP*CRES046
STL-0047,order_DWNSFKS7DR,UTR971040041922,2026-06-10,8634.42,172.69,31.08,8430.65,RAZORP*FALC047
STL-0048,order_OSNEI06BU1,UTR830308201843,2026-07-12,104098.72,2081.97,374.75,101493.84,RAZORP*HARB048
STL-0049,order_UPXQPAWRI1,UTR989829473382,2026-07-02,139762.7,2795.25,503.14,136464.31,RAZORP*TUND049
STL-0054,order_J3FS7HJSLB,UTR543163729523,2026-06-16,21051.47,421.03,75.79,20101.21,RAZORP*ZENI054
STL-0055,order_T40NNNFLCI,UTR918686795928,2026-07-07,132755.87,2655.12,477.92,129622.83,RAZORP*ORIO055
STL-0056,order_WBBUKSTOKE,UTR784472765390,2026-07-12,158276.41,3165.53,569.8,154271.3,RAZORP*JAIP056
STL-0058,order_UMXP70I6BT,UTR303607171225,2026-07-14,196628.25,3932.57,707.86,191647.59,RAZORP*EVER058
STL-0059,order_VSX3GLKB62,UTR691483133212,2026-06-08,8025.77,160.52,28.89,7696.58,RAZORP*YASH059
STL-0060,order_P2SJX8H5AJ,UTR322238266645,2026-07-16,235998.4,4719.97,849.59,230428.84,RAZORP*XENO060
